date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,safety_stock,stock_status,inventory_risk
2025-12-22,SKU00001,215,0,7,100,33,SUFFICIENT STOCK,False
2025-10-11,SKU00002,0,0,7,882,324,OUT OF STOCK,True
2025-12-13,SKU00003,414,0,7,250,85,SUFFICIENT STOCK,False
2025-12-03,SKU00004,148,0,7,99,35,SUFFICIENT STOCK,False
2025-12-26,SKU00005,411,0,7,284,104,SUFFICIENT STOCK,False
2025-12-29,SKU00006,621,0,7,324,130,SUFFICIENT STOCK,False
2025-12-05,SKU00007,87,0,7,163,54,REORDER REQUIRED,True
2025-12-29,SKU00009,85,0,7,154,39,REORDER REQUIRED,True
2025-11-11,SKU00011,3,0,7,35,17,REORDER REQUIRED,True
2025-12-17,SKU00013,314,0,7,145,55,SUFFICIENT STOCK,False
2025-11-28,SKU00014,33,0,7,76,17,REORDER REQUIRED,True
2025-11-05,SKU00015,79,0,7,28,12,SUFFICIENT STOCK,False
2025-11-24,SKU00016,106,0,7,56,22,SUFFICIENT STOCK,False
2025-12-15,SKU00017,77,0,7,55,19,SUFFICIENT STOCK,False
2025-12-20,SKU00018,148,0,7,188,55,REORDER REQUIRED,True
2025-11-25,SKU00019,120,0,7,86,40,SUFFICIENT STOCK,True
2025-10-06,SKU00020,0,0,7,760,284,OUT OF STOCK,True
2025-12-22,SKU00021,252,0,7,111,43,SUFFICIENT STOCK,False
2025-11-05,SKU00023,20,0,7,39,13,REORDER REQUIRED,True
2025-08-29,SKU00024,6453,0,7,1467,490,SUFFICIENT STOCK,False
2025-12-30,SKU00025,213,0,7,169,57,SUFFICIENT STOCK,True
2025-11-14,SKU00026,81,0,7,51,24,SUFFICIENT STOCK,False
2025-11-21,SKU00027,204,0,7,113,39,SUFFICIENT STOCK,False
2025-12-14,SKU00028,371,0,7,247,76,SUFFICIENT STOCK,False
2025-12-19,SKU00030,82,0,7,105,44,REORDER REQUIRED,True
2025-12-29,SKU00031,508,0,7,270,76,SUFFICIENT STOCK,False
2025-12-22,SKU00032,112,0,7,184,63,REORDER REQUIRED,True
2025-12-24,SKU00033,136,0,7,64,18,SUFFICIENT STOCK,False
2025-12-24,SKU00034,136,0,7,113,49,SUFFICIENT STOCK,True
2025-12-28,SKU00035,594,0,7,298,113,SUFFICIENT STOCK,False
2025-11-25,SKU00036,134,0,7,85,25,SUFFICIENT STOCK,False
2025-12-23,SKU00037,334,0,7,143,61,SUFFICIENT STOCK,False
2025-11-30,SKU00038,18,0,7,49,24,REORDER REQUIRED,True
2025-11-21,SKU00039,290,0,7,179,56,SUFFICIENT STOCK,False
2025-11-04,SKU00040,101,0,7,84,35,SUFFICIENT STOCK,True
2025-12-14,SKU00041,123,0,7,115,46,SUFFICIENT STOCK,True
2025-12-23,SKU00043,107,0,7,68,26,SUFFICIENT STOCK,False
2025-12-12,SKU00044,316,0,7,135,50,SUFFICIENT STOCK,False
2025-11-27,SKU00045,90,0,7,109,40,REORDER REQUIRED,True
2025-11-30,SKU00046,324,0,7,244,97,SUFFICIENT STOCK,True
2025-12-20,SKU00047,291,0,7,160,67,SUFFICIENT STOCK,False
2025-11-18,SKU00048,332,0,7,173,82,SUFFICIENT STOCK,False
2025-12-29,SKU00049,50,0,7,35,7,SUFFICIENT STOCK,False
2025-12-04,SKU00050,48,0,7,664,209,REORDER REQUIRED,True
2025-11-25,SKU00051,123,0,7,71,24,SUFFICIENT STOCK,False
2025-11-12,SKU00052,5399,0,7,1299,466,SUFFICIENT STOCK,False
2025-12-06,SKU00053,60,0,7,27,9,SUFFICIENT STOCK,False
2025-12-20,SKU00056,113,0,7,189,59,REORDER REQUIRED,True
2025-12-01,SKU00057,30,0,7,31,15,REORDER REQUIRED,True
2025-12-21,SKU00058,149,0,7,93,29,SUFFICIENT STOCK,False
2025-12-26,SKU00059,601,0,7,233,53,SUFFICIENT STOCK,False
2025-12-22,SKU00060,253,0,7,148,49,SUFFICIENT STOCK,False
2025-12-27,SKU00061,296,0,7,177,68,SUFFICIENT STOCK,False
2025-11-29,SKU00062,272,0,7,967,323,REORDER REQUIRED,True
2025-12-18,SKU00063,84,0,7,82,39,SUFFICIENT STOCK,True
2025-12-31,SKU00064,409,0,7,269,81,SUFFICIENT STOCK,False
2025-11-27,SKU00065,215,0,7,76,33,SUFFICIENT STOCK,False
2025-12-20,SKU00066,4837,0,7,1048,384,SUFFICIENT STOCK,False
2025-11-13,SKU00067,204,0,7,140,55,SUFFICIENT STOCK,False
2025-12-07,SKU00068,8,0,7,99,39,REORDER REQUIRED,True
2025-12-08,SKU00069,403,0,7,255,72,SUFFICIENT STOCK,False
2025-12-26,SKU00070,378,0,7,193,67,SUFFICIENT STOCK,False
2025-11-28,SKU00071,285,0,7,142,42,SUFFICIENT STOCK,False
2025-11-13,SKU00073,126,0,7,60,22,SUFFICIENT STOCK,False
2025-12-11,SKU00074,88,0,7,74,22,SUFFICIENT STOCK,True
2025-12-15,SKU00075,5552,0,7,1274,465,SUFFICIENT STOCK,False
2025-12-20,SKU00076,153,0,7,138,42,SUFFICIENT STOCK,True
2025-12-14,SKU00077,206,0,7,195,56,SUFFICIENT STOCK,True
2025-11-15,SKU00078,69,0,7,30,14,SUFFICIENT STOCK,False
2025-12-30,SKU00079,138,0,7,806,274,REORDER REQUIRED,True
2025-11-02,SKU00080,1,0,7,43,16,REORDER REQUIRED,True
2025-12-30,SKU00081,276,0,7,117,55,SUFFICIENT STOCK,False
2025-12-09,SKU00082,175,0,7,113,45,SUFFICIENT STOCK,False
2025-12-09,SKU00083,208,0,7,116,46,SUFFICIENT STOCK,False
2025-11-25,SKU00084,39,0,7,108,33,REORDER REQUIRED,True
2025-12-05,SKU00085,308,0,7,167,51,SUFFICIENT STOCK,False
2025-12-21,SKU00086,230,0,7,224,100,SUFFICIENT STOCK,True
2025-12-14,SKU00087,28,0,7,77,27,REORDER REQUIRED,True
2025-08-22,SKU00090,7868,0,7,1737,598,SUFFICIENT STOCK,False
2025-12-09,SKU00091,260,0,7,137,47,SUFFICIENT STOCK,False
2025-12-01,SKU00092,137,0,7,115,34,SUFFICIENT STOCK,True
